Date,000725.SZ-Open,000725.SZ-High,000725.SZ-Low,000725.SZ-Close,000725.SZ-Adj Close,000725.SZ-Volume,^DJI-Open,^DJI-High,^DJI-Low,^DJI-Close,^DJI-Adj Close,^DJI-Volume,^GSPC-Open,^GSPC-High,^GSPC-Low,^GSPC-Close,^GSPC-Adj Close,^GSPC-Volume,000001.SS-Open,000001.SS-High,000001.SS-Low,000001.SS-Close,000001.SS-Adj Close,000001.SS-Volume,000300.SS-Open,000300.SS-High,000300.SS-Low,000300.SS-Close,000300.SS-Adj Close,000300.SS-Volume,CNY=X-Open,CNY=X-High,CNY=X-Low,CNY=X-Close,CNY=X-Adj Close,HKDCNY=X-Open,HKDCNY=X-High,HKDCNY=X-Low,HKDCNY=X-Close,HKDCNY=X-Adj Close
2021-05-10,6.599999904632568,6.690000057220459,6.559999942779541,6.670000076293945,6.116300106048584,697614615.0,34785.26953125,35091.55859375,34741.5703125,34742.8203125,34742.8203125,361620000.0,4228.2900390625,4236.39013671875,4188.1298828125,4188.43017578125,4188.43017578125,4560700000.0,3423.590087890625,3429.739990234375,3401.929931640625,3427.989990234375,3427.989990234375,374200.0,5001.43994140625,5019.39013671875,4953.7001953125,4992.419921875,4992.419921875,170800.0,6.43149995803833,6.432499885559082,6.40369987487793,6.43149995803833,6.43149995803833,0.827210009098053,0.827210009098053,0.8243449926376343,0.8273739814758301,0.8273739814758301
2021-05-11,6.579999923706055,6.739999771118164,6.46999979019165,6.679999828338623,6.12546968460083,697874754.0,34572.73828125,34572.73828125,34075.30859375,34269.16015625,34269.16015625,413180000.0,4150.33984375,4162.0400390625,4111.52978515625,4152.10009765625,4152.10009765625,4870710000.0,3406.60009765625,3448.10009765625,3384.699951171875,3441.85009765625,3441.85009765625,350900.0,4956.080078125,5033.490234375,4925.919921875,5023.06005859375,5023.06005859375,151500.0,6.41510009765625,6.431399822235107,6.414899826049805,6.41510009765625,6.41510009765625,0.8252279758453369,0.8270419836044312,0.8218870162963867,0.8252279758453369,0.8252279758453369
2021-05-12,6.610000133514404,6.639999866485596,6.53000020980835,6.599999904632568,6.05211067199707,612700710.0,34206.3984375,34207.87109375,33555.21875,33587.66015625,33587.66015625,381350000.0,4130.5498046875,4134.72998046875,4056.8798828125,4063.0400390625,4063.0400390625,4733070000.0,3429.75,3466.3701171875,3428.389892578125,3462.75,3462.75,311400.0,5003.81982421875,5051.169921875,4995.39990234375,5044.5498046875,5044.5498046875,126600.0,6.428400039672852,6.455999851226807,6.426700115203857,6.428299903869629,6.428299903869629,0.8264560103416443,0.8303459882736206,0.8218730092048645,0.8264560103416443,0.8264560103416443
2021-05-13,6.510000228881836,6.579999923706055,6.360000133514404,6.420000076293945,5.887053489685059,793260739.0,33624.73828125,34181.76953125,33623.48828125,34021.44921875,34021.44921875,350820000.0,4074.989990234375,4131.580078125,4074.989990234375,4112.5,4112.5,4779540000.0,3432.139892578125,3448.02001953125,3418.3798828125,3429.5400390625,3429.5400390625,319300.0,4992.35009765625,5022.080078125,4975.4501953125,4992.97021484375,4992.97021484375,132300.0,6.4552001953125,6.456399917602539,6.443699836730957,6.4552001953125,6.4552001953125,0.8303859829902649,0.8303859829902649,0.8250240087509155,0.8303859829902649,0.8303859829902649
2021-05-14,6.46999979019165,6.590000152587891,6.420000076293945,6.579999923706055,6.03377103805542,677117187.0,34050.859375,34454.05078125,34050.859375,34382.12890625,34382.12890625,303230000.0,4129.580078125,4183.1298828125,4129.580078125,4173.85009765625,4173.85009765625,4008880000.0,3436.090087890625,3490.639892578125,3422.56005859375,3490.3798828125,3490.3798828125,337000.0,5007.6298828125,5112.97998046875,4981.2900390625,5110.58984375,5110.58984375,159400.0,6.450900077819824,6.451200008392334,6.420300006866455,6.450900077819824,6.450900077819824,0.8295019865036011,0.8295909762382507,0.8253999948501587,0.8295019865036011,0.8295019865036011
2021-05-17,6.579999923706055,6.659999847412109,6.480000019073486,6.53000020980835,5.987922191619873,742322814.0,34375.2890625,34383.83984375,34176.6484375,34327.7890625,34327.7890625,291910000.0,4169.919921875,4171.919921875,4142.68994140625,4163.2900390625,4163.2900390625,4125050000.0,3490.409912109375,3530.510009765625,3490.139892578125,3517.6201171875,3517.6201171875,322100.0,5115.31005859375,5206.68994140625,5115.31005859375,5184.990234375,5184.990234375,153900.0,6.436100006103516,6.442599773406982,6.427499771118164,6.436100006103516,6.436100006103516,0.8276230096817017,0.8284630179405212,0.822825014591217,0.8276119828224182,0.8276119828224182
2021-05-18,6.5,6.639999866485596,6.400000095367432,6.599999904632568,6.05211067199707,681327996.0,34351.1796875,34408.98828125,34044.1015625,34060.66015625,34060.66015625,289590000.0,4165.93994140625,4169.14990234375,4125.990234375,4127.830078125,4127.830078125,4398150000.0,3520.64990234375,3529.010009765625,3510.860107421875,3529.010009765625,3529.010009765625,271300.0,5190.93017578125,5201.669921875,5156.7900390625,5187.60009765625,5187.60009765625,118400.0,6.438199996948242,6.438399791717529,6.412700176239014,6.438199996948242,6.438199996948242,0.8280370235443115,0.8280850052833557,0.8234429955482483,0.8280370235443115,0.8280370235443115
2021-05-19,6.559999942779541,6.650000095367432,6.53000020980835,6.599999904632568,6.05211067199707,506888719.0,33945.80859375,33945.80859375,33473.80078125,33896.0390625,33896.0390625,348480000.0,4098.4501953125,4116.93017578125,4061.409912109375,4115.68017578125,4115.68017578125,4247450000.0,3521.110107421875,3521.110107421875,3503.820068359375,3510.9599609375,3510.9599609375,278300.0,5173.169921875,5193.56005859375,5151.64013671875,5172.27001953125,5172.27001953125,118700.0,6.424200057983398,6.438300132751465,6.415900230407715,6.424200057983398,6.424200057983398,0.8263859748840332,0.8282170295715332,0.8225169777870178,0.8263859748840332,0.8263859748840332
2021-05-20,6.579999923706055,6.590000152587891,6.480000019073486,6.510000228881836,5.9695820808410645,527293635.0,33906.30078125,34233.3984375,33872.41015625,34084.1484375,34084.1484375,320150000.0,4121.97021484375,4172.7998046875,4121.97021484375,4159.1201171875,4159.1201171875,3978880000.0,3500.8798828125,3517.739990234375,3486.070068359375,3506.93994140625,3506.93994140625,326000.0,5167.0498046875,5201.58984375,5152.0400390625,5186.41015625,5186.41015625,138500.0,6.434000015258789,6.4415998458862305,6.43149995803833,6.434000015258789,6.434000015258789,0.8276450037956238,0.8285660147666931,0.8248100280761719,0.8276789784431458,0.8276789784431458
2021-05-21,6.550000190734863,6.75,6.550000190734863,6.630000114440918,6.079620838165283,822025620.0,34121.91015625,34415.48046875,34121.91015625,34207.83984375,34207.83984375,306360000.0,4168.60986328125,4188.72021484375,4151.72021484375,4155.85986328125,4155.85986328125,3995250000.0,3510.840087890625,3518.3798828125,3479.669921875,3486.56005859375,3486.56005859375,283800.0,5199.1298828125,5216.16015625,5123.1201171875,5134.14990234375,5134.14990234375,124800.0,6.433899879455566,6.435699939727783,6.422699928283691,6.433899879455566,6.433899879455566,0.8279029726982117,0.8280010223388672,0.8229579925537109,0.8279029726982117,0.8279029726982117
